id,location_id,attention,address_1,address_2,city,region,state_province,postal_code,country,address_type
addr-370106,loc-370106,NA,136 S Washington,NA,Hudson,NA,IA,50643,US,physical
addr-370107,loc-370107,NA,245 S Washington,NA,Hudson,NA,IA,50643,US,physical
addr-370108,loc-370108,NA,23 3rd St No,NA,Dakota City,NA,IA,50529,US,physical
addr-370109,loc-370109,NA,1500 Wildcat Rd,NA,Humboldt,NA,IA,50548,US,physical
addr-370110,loc-370110,NA,1400 Wildcat Rd,NA,Humboldt,NA,IA,50548,US,physical
addr-370111,loc-370111,NA,612 2nd Ave North,NA,Humboldt,NA,IA,50548,US,physical
addr-370112,loc-370112,NA,1103 First Street West,NA,Independence,NA,IA,50644,US,physical
addr-370113,loc-370113,NA,700 20th Ave SW,NA,Independence,NA,IA,50644,US,physical
addr-370114,loc-370114,NA,1301 1st St W,NA,Independence,NA,IA,50644,US,physical
addr-370115,loc-370115,NA,1011 1st St W,NA,Independence,NA,IA,50644,US,physical
addr-370116,loc-370116,NA,1109 E Euclid,NA,Indianola,NA,IA,50125,US,physical
addr-370117,loc-370117,NA,1304 E 1st,NA,Indianola,NA,IA,50125,US,physical
addr-370118,loc-370118,NA,500 W Clinton,NA,Indianola,NA,IA,50125,US,physical
addr-370119,loc-370119,NA,403 S 15th St,NA,Indianola,NA,IA,50125,US,physical
addr-370120,loc-370120,NA,1306 W Salem,NA,Indianola,NA,IA,50125,US,physical
addr-370121,loc-370121,NA,2303 W Euclid,NA,Indianola,NA,IA,50125,US,physical
addr-370122,loc-370122,NA,445 East North Street,NA,Truro,NA,IA,50257,US,physical
addr-370123,loc-370123,NA,405 E North St,NA,Truro,NA,IA,50257,US,physical
addr-370124,loc-370124,NA,405 E North Street,NA,Truro,NA,IA,50257,US,physical
addr-370125,loc-370125,NA,3850 Rohret Road,NA,Iowa City,NA,IA,52246,US,physical
addr-370126,loc-370126,NA,601 Oakdale Blvd,NA,Coralville,NA,IA,52241,US,physical
addr-370127,loc-370127,NA,1400 Grissel Place,NA,Iowa City,NA,IA,52245,US,physical
addr-370128,loc-370128,NA,501 6th St,NA,Coralville,NA,IA,52241,US,physical
addr-370129,loc-370129,NA,600 Koser Ave,NA,Iowa City,NA,IA,52246,US,physical
addr-370130,loc-370130,NA,1930 Lakeside Dr,NA,Iowa City,NA,IA,52240,US,physical
addr-370131,loc-370131,NA,3100 Washington St,NA,Iowa City,NA,IA,52245,US,physical
addr-370132,loc-370132,NA,301 Main St,NA,Hills,NA,IA,52235,US,physical
addr-370133,loc-370133,NA,521 N Dodge St,NA,Iowa City,NA,IA,52245,US,physical
addr-370134,loc-370134,NA,1900 Morningside Dr,NA,Iowa City,NA,IA,52245,US,physical
addr-370135,loc-370135,NA,1401 9th St,NA,Coralville,NA,IA,52241,US,physical
addr-370136,loc-370136,NA,300 Teeters Court,NA,Iowa City,NA,IA,52246,US,physical
addr-370137,loc-370137,NA,1130 Seymour Ave,NA,Iowa City,NA,IA,52240,US,physical
addr-370138,loc-370138,NA,1355 DeForest Avenue,NA,Iowa City,NA,IA,52240,US,physical
addr-370139,loc-370139,NA,1507 8th St,NA,Coralville,NA,IA,52241,US,physical
addr-370140,loc-370140,NA,230 N Dubuque St,NA,North Liberty,NA,IA,52317,US,physical
addr-370141,loc-370141,NA,830 Southlawn Dr,NA,Iowa City,NA,IA,52245,US,physical
addr-370142,loc-370142,NA,2501 Bradford Dr,NA,Iowa City,NA,IA,52240,US,physical
addr-370143,loc-370143,NA,2901 Melrose Ave,NA,Iowa City,NA,IA,52246,US,physical
addr-370144,loc-370144,NA,1528 Mall Drive,NA,Iowa City,NA,IA,52240,US,physical
addr-370145,loc-370145,NA,170 Abigail Ave,NA,North Liberty,NA,IA,52317,US,physical
addr-370146,loc-370146,NA,180 E. Forevergreen Rd,NA,North Liberty,NA,IA,52317,US,physical
addr-370147,loc-370147,NA,80 Birch Street,NA,North Liberty,NA,IA,52317,US,physical
addr-370148,loc-370148,NA,1000 Kennedy Parkway,NA,Coralville,NA,IA,52241,US,physical
addr-370149,loc-370149,NA,3571 Sycamore St.,NA,Iowa City,NA,IA,52240,US,physical
addr-370150,loc-370150,NA,1400 S. Dubuque Street,NA,North Liberty,NA,IA,52317,US,physical
addr-370151,loc-370151,NA,1000 North Bend Drive,NA,North Liberty,NA,IA,52317,US,physical
addr-370152,loc-370152,NA,1355 Barrington Rd,NA,Iowa City,NA,IA,52240,US,physical
addr-370153,loc-370153,NA,1725 N Dodge Street,NA,IOWA CITY,NA,IA,52245,US,physical
addr-370154,loc-370154,NA,1903 North Taylor,NA,Iowa Falls,NA,IA,50126,US,physical
addr-370155,loc-370155,NA,1124 Union St.,NA,Iowa Falls,NA,IA,50126,US,physical
addr-370156,loc-370156,NA,710 North St,NA,Iowa Falls,NA,IA,50126,US,physical
addr-370157,loc-370157,NA,1510 Washington Ave,NA,Iowa Falls,NA,IA,50126,US,physical
addr-370158,loc-370158,NA,151 E May,NA,Marengo,NA,IA,52301,US,physical
addr-370159,loc-370159,NA,359 E Hilton St,NA,Marengo,NA,IA,52301,US,physical
addr-370160,loc-370160,NA,100 Eva Street,NA,Irwin,NA,IA,51446,US,physical
addr-370161,loc-370161,NA,209 10th St,NA,Manning,NA,IA,51455,US,physical
addr-370162,loc-370162,NA,209 10th St,NA,Manning,NA,IA,51455,US,physical
addr-370163,loc-370163,NA,505 Barrick Rd,NA,Janesville,NA,IA,50647,US,physical
addr-370164,loc-370164,NA,505 Barrick Rd,NA,Janesville,NA,IA,50647,US,physical
addr-370165,loc-370165,NA,401 E Russell,NA,Jefferson,NA,IA,50129,US,physical
